"id","invoice_id","invoices_custom_id","name","type","value","_weld_synced"
"c_campaigncode","250","250_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.701Z"
"c_campaigncode","252","252_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.701Z"
"c_campaigncode","273","273_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.706Z"
"c_campaigncode","243","243_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.699Z"
"c_campaigncode","197","197_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.709Z"
"c_campaigncode","226","226_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.698Z"
"c_campaigncode","211","211_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.696Z"
"c_campaigncode","200","200_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.693Z"
"c_campaigncode","206","206_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.695Z"
"c_campaigncode","236","236_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.710Z"
"c_campaigncode","215","215_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.697Z"
"c_campaigncode","281","281_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.788Z"
"c_campaigncode","256","256_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.786Z"
"c_campaigncode","264","264_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.703Z"
"c_campaigncode","227","227_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.709Z"
"c_campaigncode","257","257_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.787Z"
"c_campaigncode","213","213_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.696Z"
"c_campaigncode","286","286_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.708Z"
"c_campaigncode","279","279_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.788Z"
"c_campaigncode","222","222_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.698Z"
"c_campaigncode","218","218_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.697Z"
"c_campaigncode","220","220_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.697Z"
"c_campaigncode","208","208_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.695Z"
"c_campaigncode","219","219_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.697Z"
"c_campaigncode","228","228_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.709Z"
"c_campaigncode","285","285_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.707Z"
"c_campaigncode","221","221_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.698Z"
"c_campaigncode","229","229_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.710Z"
"c_campaigncode","248","248_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.700Z"
"c_campaigncode","214","214_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.697Z"
"c_campaigncode","254","254_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.701Z"
"c_campaigncode","245","245_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.700Z"
"c_campaigncode","209","209_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.695Z"
"c_campaigncode","235","235_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.699Z"
"c_campaigncode","203","203_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.693Z"
"c_campaigncode","284","284_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.790Z"
"c_campaigncode","277","277_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.707Z"
"c_campaigncode","216","216_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.697Z"
"c_campaigncode","278","278_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.787Z"
"c_campaigncode","260","260_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.702Z"
"c_campaigncode","268","268_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.705Z"
"c_campaigncode","241","241_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.699Z"
"c_campaigncode","270","270_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.705Z"
"c_campaigncode","230","230_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.710Z"
"c_campaigncode","207","207_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.695Z"
"c_campaigncode","269","269_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.705Z"
"c_campaigncode","195","195_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.709Z"
"c_campaigncode","282","282_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.707Z"
"c_campaigncode","212","212_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.696Z"
"c_campaigncode","258","258_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.702Z"
"c_campaigncode","210","210_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.696Z"
"c_campaigncode","237","237_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.710Z"
"c_campaigncode","242","242_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.699Z"
"c_campaigncode","274","274_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.706Z"
"c_campaigncode","262","262_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.703Z"
"c_campaigncode","205","205_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.694Z"
"c_campaigncode","255","255_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.711Z"
"c_campaigncode","253","253_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.711Z"
"c_campaigncode","251","251_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.885Z"
"c_clientponumber","246","246_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.700Z"
"c_clientponumber","276","276_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.707Z"
"c_clientponumber","279","279_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.788Z"
"c_clientponumber","200","200_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.692Z"
"c_clientponumber","208","208_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.695Z"
"c_clientponumber","197","197_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.709Z"
"c_clientponumber","269","269_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.705Z"
"c_clientponumber","203","203_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.693Z"
"c_clientponumber","245","245_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.699Z"
"c_clientponumber","263","263_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.703Z"
"c_clientponumber","237","237_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.710Z"
"c_clientponumber","282","282_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.707Z"
