"amount","comment","cost","custom_fields","dates","discount","doer_email","doer_id","finance_account_id","finance_account_name","finance_account_symbol","finance_object_id","finance_object_name","finance_object_symbol","id","is_confirmed","is_internal","price","product_code","product_id","product_name","project_id","project_name","quote_id","role_id","role_name","sum","supplier_id","supplier_name","unit","vat","vat_code","vat_code_id","_weld_synced"
"0.000000","3D CITY ADAPTION","0.0000",,"[]","0.000000","","0","0","","","0","","","8642","1","0","0.000000","","-1","","0","","1107","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.196Z"
"0.000000","LOGISTICS","0.0000",,"[]","0.000000","","0","0","","","0","","","9554","1","0","0.000000","","-1","","0","","1194","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.795Z"
"0.000000","CREW AND STAFF EXPENSES","0.0000",,"[]","0.000000","","0","0","","","0","","","3935","1","0","0.000000","","-1","","0","","640","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:52.298Z"
"0.000000","HEALTH &amp; SAFETY","0.0000",,"[]","0.000000","","0","0","","","0","","","3805","1","1","0.000000","","-1","","0","","616","0","","0.00","0","","","15.000","INPUT","68","2025-04-17T12:07:56.215Z"
"0.000000","GRAPHICS","0.0000",,"[]","0.000000","","0","0","","","0","","","1990","1","0","0.000000","","-1","","0","","175","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:50.097Z"
"0.000000","LOGISTICS","0.0000",,"[]","0.000000","","0","0","","","0","","","1201","1","0","0.000000","","-1","","0","","103","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:49.614Z"
"0.000000","BUILD &amp; DE-RIG CREW","0.0000",,"[]","0.000000","","0","0","","","0","","","7513","1","0","0.000000","","-1","","0","","1094","0","","0.00","0","","","15.000","INPUT","68","2025-04-17T12:07:56.404Z"
"0.000000","GRAPHICS","0.0000",,"[]","0.000000","","0","0","","","0","","","5611","1","0","0.000000","","-1","","0","","679","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:53.294Z"
"0.000000","INSURANCE","0.0000",,"[]","0.000000","","0","0","","","0","","","10069","1","0","0.000000","","-1","","0","","1143","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.508Z"
"0.000000","VENUE SERVICES","0.0000",,"[]","0.000000","","0","0","","","0","","","10059","1","0","0.000000","","-1","","0","","1143","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.497Z"
"0.000000","EXPERIENCE PRODUCTION","0.0000",,"[]","0.000000","","0","0","","","0","","","7987","1","0","0.000000","","-1","","0","","1116","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.320Z"
"0.000000","EXPERIENCE DESIGN","0.0000",,"[]","0.000000","","0","0","","","0","","","7985","1","0","0.000000","","-1","","0","","1116","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.320Z"
"0.000000","CREW AND STAFF EXPENSES","0.0000",,"[]","0.000000","","0","0","","","0","","","10087","1","0","0.000000","","-1","","0","","1142","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.437Z"
"0.000000","AUDIO VISUAL","0.0000",,"[]","0.000000","","0","0","","","0","","","10078","1","0","0.000000","","-1","","0","","1142","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.435Z"
"0.000000","GENERAL","0.0000",,"[]","0.000000","","0","0","","","0","","","10089","1","0","0.000000","","-1","","0","","1142","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.437Z"
"0.000000","CONSTRUCTION INFRASTRUCTURE","0.0000",,"[]","0.000000","","0","0","","","0","","","9972","1","0","0.000000","","-1","","0","","1209","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:56.013Z"
"0.000000","CONCEPT DESIGN","0.0000",,"[]","0.000000","","0","0","","","0","","","10049","1","0","0.000000","","-1","","0","","1143","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.495Z"
"0.000000","PROJECT MANAGEMENT","0.0000",,"[]","0.000000","","0","0","","","0","","","9970","1","0","0.000000","","-1","","0","","1209","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:56.013Z"
"0.000000","LOGISTICS","0.0000",,"[]","0.000000","","0","0","","","0","","","3721","1","0","0.000000","","-1","","0","","620","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:51.907Z"
"0.000000","Hillclimb/cars","0.0000",,"[]","0.000000","","0","0","","","0","","","8009","1","1","0.000000","","-1","","0","","1118","0","","0.00","0","","","20.000","OUTPUT2","24","2025-04-17T12:07:55.327Z"
"0.000000","CONSTRUCTION INFRASTRUCTURE","0.0000",,"[]","0.000000","","0","0","","","0","","","5607","1","0","0.000000","","-1","","0","","679","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:53.210Z"
"0.000000","FURNITURE","0.0000",,"[]","0.000000","","0","0","","","0","","","3717","1","0","0.000000","","-1","","0","","620","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:51.907Z"
"0.000000","CLIENT SERVICING","0.0000",,"[]","0.000000","","0","0","","","0","","","7308","1","1","0.000000","","-1","","0","","1082","0","","0.00","0","","","15.000","INPUT","68","2025-04-17T12:07:56.395Z"
"0.000000","GAMIFICATION","0.0000",,"[]","0.000000","","0","0","","","0","","","9688","1","0","0.000000","","-1","","0","","1093","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.106Z"
"0.000000","PROJECT MANAGEMENT","0.0000",,"[]","0.000000","","0","0","","","0","","","7505","1","0","0.000000","","-1","","0","","1094","0","","0.00","0","","","15.000","INPUT","68","2025-04-17T12:07:56.403Z"
"0.000000","WAREHOUES &amp; HANDLING","0.0000",,"[]","0.000000","","0","0","","","0","","","9698","1","0","0.000000","","-1","","0","","1093","0","","0.00","0","","","0.000","1","1","2025-04-17T11:05:54.594Z"
"0.000000","PRESENTATION","0.0000",,"[]","0.000000","","0","0","","","0","","","7989","1","0","0.000000","","-1","","0","","1116","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.320Z"
"0.000000","CONTENT CREATION","0.0000",,"[]","0.000000","","0","0","","","0","","","9687","1","0","0.000000","","-1","","0","","1093","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:55.096Z"
"0.000000","BRIEF RESPONSE","0.0000",,"[]","0.000000","","0","0","","","0","","","5594","1","1","0.000000","","-1","","0","","679","0","","0.00","0","","","0.000","1","1","2025-04-17T12:07:53.206Z"
