"id","name","quote_id","quotes_custom_id","type","value","_weld_synced"
"c_anticipatedgp","Anticipated GP (%)","957","957_c_anticipatedgp","number",,"2025-04-17T12:09:30.885Z"
"c_anticipatedgp","Anticipated GP (%)","1084","1084_c_anticipatedgp","number",,"2025-04-17T12:09:30.891Z"
"c_anticipatedgp","Anticipated GP (%)","1180","1180_c_anticipatedgp","number",,"2025-04-17T12:09:30.583Z"
"c_anticipatedgp","Anticipated GP (%)","657","657_c_anticipatedgp","number",,"2025-04-17T12:09:28.883Z"
"c_anticipatedgp","Anticipated GP (%)","690","690_c_anticipatedgp","number",,"2025-04-17T12:09:30.804Z"
"c_anticipatedgp","Anticipated GP (%)","1200","1200_c_anticipatedgp","number",,"2025-04-17T12:09:30.684Z"
"c_anticipatedgp","Anticipated GP (%)","1067","1067_c_anticipatedgp","number",,"2025-04-17T12:09:30.086Z"
"c_anticipatedgp","Anticipated GP (%)","1118","1118_c_anticipatedgp","number",,"2025-04-17T12:09:30.386Z"
"c_anticipatedgp","Anticipated GP (%)","658","658_c_anticipatedgp","number",,"2025-04-17T12:09:28.885Z"
"c_anticipatedgp","Anticipated GP (%)","1182","1182_c_anticipatedgp","number",,"2025-04-17T12:09:30.585Z"
"c_anticipatedgp","Anticipated GP (%)","1184","1184_c_anticipatedgp","number",,"2025-04-17T12:09:30.588Z"
"c_anticipatedgp","Anticipated GP (%)","1101","1101_c_anticipatedgp","number",,"2025-04-17T12:09:30.190Z"
"c_anticipatedgp","Anticipated GP (%)","707","707_c_anticipatedgp","number",,"2025-04-17T12:09:29.292Z"
"c_anticipatedgp","Anticipated GP (%)","613","613_c_anticipatedgp","number",,"2025-04-17T12:09:28.597Z"
"c_anticipatedgp","Anticipated GP (%)","1119","1119_c_anticipatedgp","number",,"2025-04-17T12:09:30.386Z"
"c_anticipatedgp","Anticipated GP (%)","686","686_c_anticipatedgp","number",,"2025-04-17T12:09:30.800Z"
"c_anticipatedgp","Anticipated GP (%)","841","841_c_anticipatedgp","number",,"2025-04-17T12:09:29.501Z"
"c_anticipatedgp","Anticipated GP (%)","1042","1042_c_anticipatedgp","number",,"2025-04-17T12:09:29.994Z"
"c_anticipatedgp","Anticipated GP (%)","1109","1109_c_anticipatedgp","number",,"2025-04-17T12:09:30.196Z"
"c_anticipatedgp","Anticipated GP (%)","614","614_c_anticipatedgp","number",,"2025-04-17T12:09:28.598Z"
"c_anticipatedgp","Anticipated GP (%)","1131","1131_c_anticipatedgp","number",,"2025-04-17T12:09:30.484Z"
"c_anticipatedgp","Anticipated GP (%)","260","260_c_anticipatedgp","number",,"2025-04-17T12:09:28.485Z"
"c_anticipatedgp","Anticipated GP (%)","1100","1100_c_anticipatedgp","number",,"2025-04-17T12:09:30.189Z"
"c_anticipatedgp","Anticipated GP (%)","971","971_c_anticipatedgp","number",,"2025-04-17T12:09:29.890Z"
"c_anticipatedgp","Anticipated GP (%)","621","621_c_anticipatedgp","number",,"2025-04-17T12:09:28.600Z"
"c_anticipatedgp","Anticipated GP (%)","1215","1215_c_anticipatedgp","number",,"2025-04-17T12:09:30.702Z"
"c_anticipatedgp","Anticipated GP (%)","706","706_c_anticipatedgp","number",,"2025-04-17T12:09:29.290Z"
"c_anticipatedgp","Anticipated GP (%)","1138","1138_c_anticipatedgp","number",,"2025-04-17T12:09:30.487Z"
"c_anticipatedgp","Anticipated GP (%)","842","842_c_anticipatedgp","number",,"2025-04-17T12:09:30.811Z"
"c_anticipatedgp","Anticipated GP (%)","1106","1106_c_anticipatedgp","number",,"2025-04-17T12:09:30.192Z"
"c_anticipatedgp","Anticipated GP (%)","694","694_c_anticipatedgp","number",,"2025-04-17T12:09:29.096Z"
"c_anticipatedgp","Anticipated GP (%)","1193","1193_c_anticipatedgp","number",,"2025-04-17T12:09:30.593Z"
"c_anticipatedgp","Anticipated GP (%)","560","560_c_anticipatedgp","number",,"2025-04-17T12:09:28.594Z"
"c_anticipatedgp","Anticipated GP (%)","956","956_c_anticipatedgp","number",,"2025-04-17T12:09:29.884Z"
"c_anticipatedgp","Anticipated GP (%)","963","963_c_anticipatedgp","number",,"2025-04-17T12:09:29.888Z"
"c_anticipatedgp","Anticipated GP (%)","101","101_c_anticipatedgp","number",,"2025-04-17T12:09:27.912Z"
"c_anticipatedgp","Anticipated GP (%)","1117","1117_c_anticipatedgp","number",,"2025-04-17T12:09:30.384Z"
"c_anticipatedgp","Anticipated GP (%)","1124","1124_c_anticipatedgp","number",,"2025-04-17T12:09:30.397Z"
"c_anticipatedgp","Anticipated GP (%)","901","901_c_anticipatedgp","number",,"2025-04-17T12:09:29.584Z"
"c_anticipatedgp","Anticipated GP (%)","249","249_c_anticipatedgp","number",,"2025-04-17T12:09:28.205Z"
"c_anticipatedgp","Anticipated GP (%)","830","830_c_anticipatedgp","number",,"2025-04-17T12:09:29.493Z"
"c_anticipatedgp","Anticipated GP (%)","746","746_c_anticipatedgp","number",,"2025-04-17T12:09:29.388Z"
"c_anticipatedgp","Anticipated GP (%)","572","572_c_anticipatedgp","number",,"2025-04-17T12:09:28.596Z"
"c_anticipatedgp","Anticipated GP (%)","1094","1094_c_anticipatedgp","number",,"2025-04-17T12:09:30.893Z"
"c_anticipatedgp","Anticipated GP (%)","616","616_c_anticipatedgp","number",,"2025-04-17T12:09:30.798Z"
"c_anticipatedgp","Anticipated GP (%)","733","733_c_anticipatedgp","number",,"2025-04-17T12:09:29.297Z"
"c_anticipatedgp","Anticipated GP (%)","1075","1075_c_anticipatedgp","number",,"2025-04-17T12:09:30.087Z"
"c_anticipatedgp","Anticipated GP (%)","902","902_c_anticipatedgp","number",,"2025-04-17T12:09:29.584Z"
"c_anticipatedgp","Anticipated GP (%)","906","906_c_anticipatedgp","number",,"2025-04-17T12:09:30.788Z"
"c_anticipatedgp","Anticipated GP (%)","1183","1183_c_anticipatedgp","number",,"2025-04-17T12:09:30.586Z"
"c_anticipatedgp","Anticipated GP (%)","1123","1123_c_anticipatedgp","number",,"2025-04-17T12:09:30.393Z"
"c_anticipatedgp","Anticipated GP (%)","776","776_c_anticipatedgp","number",,"2025-04-17T12:09:30.784Z"
"c_anticipatedgp","Anticipated GP (%)","827","827_c_anticipatedgp","number",,"2025-04-17T12:09:29.488Z"
"c_anticipatedgp","Anticipated GP (%)","1121","1121_c_anticipatedgp","number",,"2025-04-17T12:09:30.387Z"
"c_anticipatedgp","Anticipated GP (%)","642","642_c_anticipatedgp","number",,"2025-04-17T12:09:28.693Z"
"c_anticipatedgp","Anticipated GP (%)","1170","1170_c_anticipatedgp","number",,"2025-04-17T12:09:30.506Z"
"c_anticipatedgp","Anticipated GP (%)","643","643_c_anticipatedgp","number",,"2025-04-17T12:09:28.695Z"
"c_anticipatedgp","Anticipated GP (%)","1003","1003_c_anticipatedgp","number",,"2025-04-17T12:09:30.886Z"
"c_anticipatedgp","Anticipated GP (%)","685","685_c_anticipatedgp","number",,"2025-04-17T12:09:30.799Z"
"c_anticipatedgp","Anticipated GP (%)","640","640_c_anticipatedgp","number",,"2025-04-17T12:09:28.689Z"
"c_anticipatedgp","Anticipated GP (%)","905","905_c_anticipatedgp","number",,"2025-04-17T12:09:29.601Z"
"c_anticipatedgp","Anticipated GP (%)","822","822_c_anticipatedgp","number",,"2025-04-17T12:09:29.486Z"
"c_anticipatedgp","Anticipated GP (%)","655","655_c_anticipatedgp","number",,"2025-04-17T12:09:28.792Z"
"c_anticipatedgp","Anticipated GP (%)","1032","1032_c_anticipatedgp","number",,"2025-04-17T12:09:30.887Z"
