"forecasted_revenue","id","period","project_id","quote_id","recognized_revenue","_weld_synced"
,"3974","2025-03-01",,"1093","0","2025-04-17T11:06:23.445Z"
,"291","2024-08-01","37",,"31.25","2025-04-17T12:08:06.114Z"
,"292","2024-09-01","37",,"0","2025-04-17T12:08:06.119Z"
,"293","2024-10-01","37",,"0","2025-04-17T12:08:06.121Z"
,"294","2024-11-01","37",,"0","2025-04-17T12:08:06.123Z"
,"321","2024-12-01",,"77","11015","2025-04-17T12:08:06.124Z"
,"320","2024-11-01",,"77","11015","2025-04-17T12:08:06.124Z"
,"323","2025-02-01",,"77","11016.3","2025-04-17T12:08:06.124Z"
,"421","2024-02-01",,"101","38748","2025-04-17T12:08:06.124Z"
,"318","2024-09-01",,"77","10000","2025-04-17T12:08:06.124Z"
,"319","2024-10-01",,"77","0","2025-04-17T12:08:06.124Z"
,"422","2024-03-01",,"101","38748.48","2025-04-17T12:08:06.124Z"
,"322","2025-01-01",,"77","11015","2025-04-17T12:08:06.124Z"
,"336","2024-10-01","42",,"0","2025-04-17T12:08:06.124Z"
,"426","2024-11-01",,"103","60767.19","2025-04-17T12:08:06.125Z"
,"425","2024-10-01",,"103","60768","2025-04-17T12:08:06.125Z"
,"437","2024-09-01","70",,"0","2025-04-17T12:08:06.125Z"
,"439","2024-11-01","70",,"0","2025-04-17T12:08:06.125Z"
,"438","2024-10-01","70",,"0","2025-04-17T12:08:06.125Z"
"0","442","2025-01-01","73",,,"2025-04-17T12:08:06.125Z"
"0","443","2025-01-01","74",,,"2025-04-17T12:08:06.125Z"
"0","445","2025-01-01","76",,,"2025-04-17T12:08:06.125Z"
"0","446","2025-01-01","77",,,"2025-04-17T12:08:06.125Z"
"0","447","2025-01-01","78",,,"2025-04-17T12:08:06.125Z"
"0","448","2025-01-01","79",,,"2025-04-17T12:08:06.125Z"
,"450","2024-09-01","80",,"0","2025-04-17T12:08:06.125Z"
,"451","2024-10-01","80",,"0","2025-04-17T12:08:06.125Z"
,"452","2024-11-01","80",,"311.975","2025-04-17T12:08:06.126Z"
,"453","2024-09-01","81",,"0","2025-04-17T12:08:06.126Z"
,"456","2024-09-01","82",,"0","2025-04-17T12:08:06.208Z"
,"460","2024-09-01","84",,"0","2025-04-17T12:08:06.208Z"
,"461","2024-10-01","84",,"0","2025-04-17T12:08:06.208Z"
,"462","2024-11-01","84",,"0","2025-04-17T12:08:06.208Z"
,"466","2024-10-01","85",,"0","2025-04-17T12:08:06.208Z"
,"467","2024-11-01","85",,"0","2025-04-17T12:08:06.208Z"
,"465","2024-09-01","85",,"0","2025-04-17T12:08:06.208Z"
,"469","2024-10-01","86",,"0","2025-04-17T12:08:06.209Z"
,"468","2024-09-01","86",,"0","2025-04-17T12:08:06.209Z"
,"470","2024-11-01","86",,"0","2025-04-17T12:08:06.209Z"
,"472","2024-10-01","87",,"0","2025-04-17T12:08:06.219Z"
,"471","2024-09-01","87",,"0","2025-04-17T12:08:06.219Z"
,"474","2024-09-01","83",,"0","2025-04-17T12:08:06.220Z"
,"473","2024-11-01","87",,"8326.42","2025-04-17T12:08:06.220Z"
,"477","2024-10-01","81",,"0","2025-04-17T12:08:06.221Z"
,"478","2024-11-01","81",,"175.515","2025-04-17T12:08:06.221Z"
,"479","2024-10-01","82",,"0","2025-04-17T12:08:06.221Z"
,"480","2024-11-01","82",,"556.64","2025-04-17T12:08:06.221Z"
,"476","2024-11-01","83",,"636.58","2025-04-17T12:08:06.221Z"
,"475","2024-10-01","83",,"0","2025-04-17T12:08:06.221Z"
,"488","2024-09-01","90",,"0","2025-04-17T12:08:06.222Z"
,"489","2024-10-01","90",,"0","2025-04-17T12:08:06.224Z"
,"490","2024-11-01","90",,"0","2025-04-17T12:08:06.225Z"
,"491","2024-09-01","91",,"0","2025-04-17T12:08:06.226Z"
,"493","2024-11-01","91",,"0","2025-04-17T12:08:06.226Z"
,"492","2024-10-01","91",,"0","2025-04-17T12:08:06.226Z"
,"494","2024-09-01","92",,"0","2025-04-17T12:08:06.226Z"
,"495","2024-10-01","92",,"0","2025-04-17T12:08:06.226Z"
,"496","2024-11-01","92",,"0","2025-04-17T12:08:06.227Z"
,"497","2024-09-01","93",,"0","2025-04-17T12:08:06.227Z"
,"499","2024-11-01","93",,"0","2025-04-17T12:08:06.228Z"
,"498","2024-10-01","93",,"0","2025-04-17T12:08:06.228Z"
,"500","2024-09-01","94",,"0","2025-04-17T12:08:06.229Z"
,"502","2024-11-01","94",,"0","2025-04-17T12:08:06.231Z"
,"501","2024-10-01","94",,"0","2025-04-17T12:08:06.231Z"
,"504","2024-10-01","95",,"0","2025-04-17T12:08:06.231Z"
,"503","2024-09-01","95",,"0","2025-04-17T12:08:06.231Z"
,"505","2024-11-01","95",,"0","2025-04-17T12:08:06.231Z"
,"507","2024-10-01","96",,"0","2025-04-17T12:08:06.231Z"
,"508","2024-11-01","96",,"0","2025-04-17T12:08:06.231Z"
,"506","2024-09-01","96",,"0","2025-04-17T12:08:06.231Z"
,"511","2024-11-01","97",,"0","2025-04-17T12:08:06.232Z"
,"510","2024-10-01","97",,"0","2025-04-17T12:08:06.232Z"
,"509","2024-09-01","97",,"0","2025-04-17T12:08:06.232Z"
,"512","2024-09-01","98",,"0","2025-04-17T12:08:06.232Z"
,"513","2024-10-01","98",,"0","2025-04-17T12:08:06.232Z"
,"514","2024-11-01","98",,"0","2025-04-17T12:08:06.232Z"
,"520","2024-11-01","100",,"0","2025-04-17T12:08:06.233Z"
,"518","2024-09-01","100",,"0","2025-04-17T12:08:06.233Z"
,"519","2024-10-01","100",,"0","2025-04-17T12:08:06.233Z"
,"522","2024-10-01","101",,"0","2025-04-17T12:08:06.233Z"
,"523","2024-11-01","101",,"0","2025-04-17T12:08:06.233Z"
,"521","2024-09-01","101",,"0","2025-04-17T12:08:06.233Z"
,"525","2024-10-01","102",,"0","2025-04-17T12:08:06.233Z"
,"526","2024-11-01","102",,"0","2025-04-17T12:08:06.233Z"
,"524","2024-09-01","102",,"0","2025-04-17T12:08:06.233Z"
,"527","2024-09-01","103",,"0","2025-04-17T12:08:06.233Z"
,"515","2024-09-01","99",,"0","2025-04-17T12:08:06.233Z"
,"517","2024-11-01","99",,"0","2025-04-17T12:08:06.233Z"
,"516","2024-10-01","99",,"0","2025-04-17T12:08:06.233Z"
,"528","2024-10-01","103",,"0","2025-04-17T12:08:06.234Z"
,"529","2024-11-01","103",,"0","2025-04-17T12:08:06.234Z"
,"530","2024-09-01","104",,"0","2025-04-17T12:08:06.234Z"
,"531","2024-10-01","104",,"0","2025-04-17T12:08:06.234Z"
,"532","2024-11-01","104",,"0","2025-04-17T12:08:06.307Z"
,"562","2024-11-01",,"113","6006.55","2025-04-17T12:08:06.309Z"
,"533","2024-09-01","105",,"0","2025-04-17T12:08:06.309Z"
,"535","2024-11-01","105",,"0","2025-04-17T12:08:06.309Z"
,"534","2024-10-01","105",,"0","2025-04-17T12:08:06.309Z"
,"553","2025-01-01","111",,"188985.34","2025-04-17T12:08:06.309Z"
,"551","2024-11-01","111",,"705548.72","2025-04-17T12:08:06.309Z"
,"552","2024-12-01","111",,"0","2025-04-17T12:08:06.309Z"
,"627","2024-12-01",,"172","273295.43","2025-04-17T12:08:06.310Z"
,"623","2024-12-01","103",,"0","2025-04-17T12:08:06.310Z"
,"624","2024-12-01","104",,"2000","2025-04-17T12:08:06.310Z"
,"625","2024-12-01","105",,"0","2025-04-17T12:08:06.310Z"
,"628","2024-12-01","118",,"110617.98","2025-04-17T12:08:06.310Z"
,"629","2025-01-01","118",,"0","2025-04-17T12:08:06.310Z"
,"615","2024-12-01","37",,"0","2025-04-17T12:08:06.310Z"
,"622","2024-12-01","99",,"0","2025-04-17T12:08:06.310Z"
,"634","2024-12-01",,"175","0","2025-04-17T12:08:06.311Z"
,"640","2025-01-01","80",,"2719.6775","2025-04-17T12:08:06.311Z"
,"639","2024-12-01","80",,"0","2025-04-17T12:08:06.311Z"
,"645","2025-01-01","81",,"828.75","2025-04-17T12:08:06.311Z"
,"644","2024-12-01","81",,"0","2025-04-17T12:08:06.311Z"
,"650","2025-01-01","82",,"1560","2025-04-17T12:08:06.311Z"
,"649","2024-12-01","82",,"4233.28","2025-04-17T12:08:06.311Z"
,"654","2024-12-01","83",,"0","2025-04-17T12:08:06.312Z"
,"655","2025-01-01","83",,"592.0425","2025-04-17T12:08:06.313Z"
,"660","2025-01-01","94",,"0","2025-04-17T12:08:06.317Z"
,"659","2024-12-01","94",,"0","2025-04-17T12:08:06.317Z"
,"664","2024-12-01","95",,"0","2025-04-17T12:08:06.317Z"
,"665","2025-01-01","95",,"0","2025-04-17T12:08:06.317Z"
,"669","2024-12-01","96",,"0","2025-04-17T12:08:06.317Z"
,"680","2025-01-01","102",,"2259.145","2025-04-17T12:08:06.318Z"
,"679","2024-12-01","102",,"0","2025-04-17T12:08:06.318Z"
,"684","2025-01-01","103",,"0","2025-04-17T12:08:06.318Z"
,"688","2025-01-01","104",,"1000","2025-04-17T12:08:06.318Z"
,"692","2025-01-01","105",,"1062.5","2025-04-17T12:08:06.318Z"
,"670","2025-01-01","96",,"0","2025-04-17T12:08:06.318Z"
,"675","2025-01-01","97",,"0","2025-04-17T12:08:06.318Z"
,"674","2024-12-01","97",,"0","2025-04-17T12:08:06.318Z"
,"697","2025-01-01","98",,"0","2025-04-17T12:08:06.318Z"
,"696","2024-12-01","98",,"0","2025-04-17T12:08:06.318Z"
,"701","2025-01-01","99",,"0","2025-04-17T12:08:06.318Z"
,"705","2024-12-01","100",,"0","2025-04-17T12:08:06.319Z"
,"706","2025-01-01","100",,"0","2025-04-17T12:08:06.319Z"
,"710","2024-12-01","101",,"0","2025-04-17T12:08:06.319Z"
,"711","2025-01-01","101",,"0","2025-04-17T12:08:06.319Z"
,"716","2025-01-01","84",,"106175.608","2025-04-17T12:08:06.323Z"
,"715","2024-12-01","84",,"0","2025-04-17T12:08:06.323Z"
,"720","2024-12-01","85",,"0","2025-04-17T12:08:06.323Z"
,"721","2025-01-01","85",,"15321.0575","2025-04-17T12:08:06.323Z"
,"726","2025-01-01","87",,"89771.6825","2025-04-17T12:08:06.323Z"
,"725","2024-12-01","87",,"8326.42","2025-04-17T12:08:06.323Z"
,"731","2025-01-01","90",,"863.36","2025-04-17T12:08:06.324Z"
,"730","2024-12-01","90",,"0","2025-04-17T12:08:06.324Z"
,"736","2025-01-01","91",,"0","2025-04-17T12:08:06.328Z"
,"735","2024-12-01","91",,"0","2025-04-17T12:08:06.328Z"
,"740","2024-12-01","92",,"4353.14","2025-04-17T12:08:06.328Z"
,"741","2025-01-01","92",,"2251.68","2025-04-17T12:08:06.328Z"
,"745","2024-12-01","93",,"0","2025-04-17T12:08:06.328Z"
,"746","2025-01-01","93",,"1427.09","2025-04-17T12:08:06.330Z"
,"752","2024-12-01",,"178","0","2025-04-17T12:08:06.331Z"
,"788","2024-11-01","124",,"0","2025-04-17T12:08:06.331Z"
,"755","2024-12-01","86",,"6840.16","2025-04-17T12:08:06.331Z"
,"756","2025-01-01","86",,"10179.04","2025-04-17T12:08:06.331Z"
,"790","2025-01-01","124",,"0","2025-04-17T12:08:06.332Z"
,"789","2024-12-01","124",,"0","2025-04-17T12:08:06.332Z"
,"803","2025-02-01","126",,"122980.9","2025-04-17T12:08:06.332Z"
,"801","2024-12-01","126",,"0","2025-04-17T12:08:06.332Z"
,"802","2025-01-01","126",,"0","2025-04-17T12:08:06.332Z"
,"800","2024-11-01","126",,"0","2025-04-17T12:08:06.332Z"
,"807","2025-02-01","128",,"0","2025-04-17T12:08:06.332Z"
,"804","2024-11-01","128",,"0","2025-04-17T12:08:06.332Z"
,"806","2025-01-01","128",,"0","2025-04-17T12:08:06.332Z"
,"805","2024-12-01","128",,"0","2025-04-17T12:08:06.332Z"
,"808","2024-12-01","129",,"69651","2025-04-17T12:08:06.332Z"
